id,tweet,text_processed,class
"1,48236E+18",Fabin Sanabria no era el que por lambonearle al presidente Santos en su aspiracin de ser rector de la Nacional maltrat a una mujer dirigente estudiantil,fabin sanabrio lambonearle presidente santo aspiracin ser rector nacional maltrat mujer dirigente estudiantil,2
"1,48236E+18",la dualidad de una mujer de querer coquetearle a todo el mundo y a la vez querer ser fra y reservada,dualidad mujer querer coquetear él mundo vez querer ser fra reservado,2
"1,48236E+18", No precisaron la edad de cuando se hizo cura pero l le dijo a Lola que tuvo varias novias Miranda incluida antes de entrar al seminario. Y Miranda se refiera a ella misma como la ex mujer de l. As que,precisar edad hacer cura l decir lola varios novia mirandar incluido entrar seminario mirando refeír mismo ex mujer l os,2
"1,48236E+18",Esta hija de un montonero y mujer de un camalen peronacho es penosa su gestin https://t.co/l9eqpfT3pb,hija montonero mujer camalar peronacho penoso gestin,2
"1,48236E+18",         Una mujer abierta a comprender y a trabajar por las necesidades de diferentes poblaciones Aydee es un gran valor de liderazgo y confianza. Es importante darle la oportunidad de estar como  presidente nos vamos a sentir protegidos y nuestros derechos sern muy bien defendidos.,mujer abierto comprender trabajar necesidad diferente población aydee gran valor liderazgo confianza importante dar él oportunidad presidente ir sentir protegido derecho sern bien defendido,0
"1,48236E+18", JAJAJA JAJAJA Y EL PRIMER BANDIDO ERES TU TAREK SAAB DAS ASCO COMO FISCAL DE LA REPBLICA Y NO TE PINTES LOS LABIOS SE NOTA TU TENDENCIA GAFO POR ESO TE DEJO TU MUJER Y TUS HIJOS CHOCOLATE SIGUE CON TUS ABURRIDAS POESAS VE PRACTICANDO COMO VOLAR TU FUTURA ESCOBA CHARLATN QUETAL,jajaja jajajar primero bandido tarek saab dos asco fiscal repblico pint labio noto tendencia gafo dejar mujer hijo chocolate seguir aburrido poesa ver practicar volar futuro escoba charlatn quetal,1
"1,48236E+18", Sinceramente no me importa quisiera uno con huevos que haga los cambios necesarios si es varn o mujer es lo de menos...,sinceramente importar querer huevo hacer cambio necesario si varn mujer menos,2
"1,48236E+18",FELIZ CUMPLEAOS A ESTA INCREBLE MUJER TE AMOOOOOOOOOOOOOOOOOOOOOOOOOOOOHAPPY BIRTHDAY JENNIE#OurStarJennieDay#??????_?????? https://t.co/QOv15hGv31,feliz cumpleaos increble mujer amoooooooooooooooooooooooooooohappy bihday jennie ourstarjennieday,0
"1,48236E+18", Me quede loca esa tipa se debe drogar duro. Y que devolvi 6 uber hasta que no llegara un conductor mujer. Porque encima es feminista. Loca es lo que es.,quedar loca tipar deber drogar duro devolvi uber llegar conductor mujer encima feminista locar,1
"1,48236E+18",Buenos das mi reina. Siempre sers nuestra reina recuerda lo importante que es para nosotros siempre te apoyaremos en todo lo que hagas. Porque sabemos lo mucho que eres una guerrera una luchadora una fuerte una madre ejemplar una mujer maravillosaNuestra reina eterna? https://t.co/TcAGuiS3kO,buen dos reina siempre sers reina recordar importante siempre apoyarer hagas  saber guerrero luchadora fuerte madre ejemplar mujer maravillosanuestro reina eterno,0
"1,48236E+18",Cien latigazos a mujer en Indonesia por adulterio 15 para el hombre https://t.co/lgGWSEB6NV,cien latigazo mujer indonesio adulterio hombre,1
"1,48236E+18",Donde esta mujer Poltica presidente del Concejo de Cartagena fuera del Centro Democrtico el titular fuera: Uribista es capturada por Narcotrfico cuando transportaba un cargamento de cocana https://t.co/pkwUUEbmYW,mujer poltico presidente concejo cartagena centro democrtico titular uribista capturado narcotrfico transportar cargamento cocán,2
"1,48236E+18", Amn mujer Dios es maravilloso y bueno con sus hijos ??,amn mujer dios maravilloso bueno hijo,0
"1,48236E+18",??VOLVAN A LA PROVINCIA DESDE SAN LUIS Y PROTAGONIZARON UN TREMENDO VUELCO EN LA RUTA 20 ??Ocurri a la altura del km. 461 en la localidad de Las Casuarinas. En el vehculo iba una mujer con sus dos hijos y otro hombre. Los detalles.https://t.co/MtgUQHh50U,volir provincia san luis protagonizar tremendo vuelco ruto ocurri altura km localidad casuarina vehculo ir mujer dos hijo hombre detalle,2
"1,48236E+18", Buenos das mujer.,buen dos mujer,2
"1,48236E+18",Lleva 10 aos como coach en el bisbol profesional y es la primera instructora femenina a tiempo completo en una organizacin de MLB desde 2019 #15Ene https://t.co/3ocqgDKwjv,llevar aos coach bisbol profesional primero instructora femenino tiempo completo organizacin mlb,2
"1,48236E+18",La detencin fue ejecutada luego de que se difundiera un video en el que Marrn golpea reiteradamente a su esposo mientras este permanece postrado en una cama. Las lesiones las infringe con un palohttps://t.co/B2mEtXXR4R,detencin ejecutado luego difundir video marrn golpear reiteradamente esposo mientras permanecer postrado camo lesión infringe palo,1
"1,48236E+18",Mujer vales ms de lo que imaginas no permitas el maltrato. Llmanos! #Lnea155 #YoTeCuidoMujer https://t.co/y0FrEMkDUz,mujer valer ms imagina permita maltrato llmanos yotecuidomujer,0
"1,48236E+18",??INFRMATE????#DF_352 realiz charla sobre Ley Orgnica sobre el Derecho de la Mujer a una Vida Libre de Violencia al personal militar disponible#15Ene #MaestrosForjadoresDeAmor#FANB #GNB . . https://t.co/qCLiHmxDiy,infrmate realiz char él ley orgnicar derecho mujer vida libre violencia personal militar disponible maestrosforjadoresdeamor fanb gnb,2
"1,48236E+18", Decir que si sobra mujer mamasota bella,decir si sobrar mujer mamasota bello,0
"1,48236E+18", Criticar el cuerpo de una mujer Que es eso Un torneo nuevo de FIFA,criticar cuerpo mujer torneo nuevo fifa,1
"1,48236E+18",Capturan al supuesto homicida  de mujer nica que estaba muerta adentro del bao  https://t.co/X3p9PLN6AL El hombre le pidi prestado 100 dlares a su otra pareja y le dijo que haba hecho algo malo.,capturan supuesto homicida mujer nico muerto adentro bao hombre pidi prestar dlar parejo decir har hecho malo,2
"1,48236E+18",El Ministerio de la Mujer y Poblaciones Vulnerables mencion que en el Per la pandemia por covid-19 ha dejado hurfanos a cerca de 100000 nias y nios. https://t.co/eYxBFaecsI,ministerio mujer población vulnerable mencion per pandemia dejado hurfano cerca nia nio,2
"1,48236E+18",   Yo respeto lo que se sienta!!! Quiere ser mujer que sea!! Jajaja peds respeto y me lo faltas a mi Cul es tu lgica Vos cmprate una vida yo elijo decirle hombre porque naci hombre y respeto que se sienta mujer .,respeto sentar querer ser mujer jajaja peds respetar falto cul lgico vo cmprate vida elijo decir él hombre naci hombre respetar sentar mujer,0
"1,48236E+18", Solo veo a una mujer violentada.,solo ver mujer violentado,2
"1,48236E+18",  Quizs y solo quizs me lo dijo porque para entender a una mujer es tan o mas difcil que entender un libro de fsica cuntica escrito en hebreo antiguo ??,quizs solo quizs decir entender mujer tanto mas difcil entender libro fsico cuntico escrito hebreo antiguo,2
"1,48236E+18", Saludos Marielita Mujer Hermosa Mujer Virtuosa Eres TU mi viejita Dios te bendiga siempre grande y Poderosamente.,saludo marielitar mujer hermoso mujer virtuoso viejita dios bendigar siempre grande poderosamente,0
"1,48236E+18", Admiro tu belleza pues cada vez que te veo pienso que estoy soando tu rostro tus ojos  son una invitacin al paraso. Puedo mirarte una y otra vez y nunca me aburrir porque eres la perfeccin hecha mujer. Feliz sbado.,admirar belleza pues cada vez ver pensar soar rostro ojo invitacin paraso poder mirarte vez nunca aburrir perfein hecho mujer feliz sbado,0
"1,48236E+18",odio ser mujer en verano,odiar ser mujer verano,1
"1,48236E+18", No tenemos derecho de traer con nosotros una hermana por mujer como tambin los otros apstoles y los hermanos del Seor y Cefas1 Corintios 9:5,derecho traer hermana mujer tambin apstol hermano seor corintio,2
"1,48236E+18",Sabe como tratar a una mujer pero no sabe complacerla.,saber tratar mujer saber complacer él,2
"1,48236E+18",Hombre con hombre mujer con mujer y en el sentido contrario. https://t.co/qM65pNUcPn,hombre hombre mujer mujer contrario,2
"1,48236E+18", Una mujer tampoco,mujer tampoco,2
"1,48236E+18","""""""No se si poner la segunda temporada de Emily in Paris porque Ringarde (basic bitch morrita bsica ??) o Caf con aroma de mujer porque seora y por """"""""la trama"""""""" #tweetqueanadieleimporta""""""",si poner segundo temporada emily in paris ringarde basic bitch morritar bsico caf aromo mujer seoro tramar tweetqueanadieleimporto,1
"1,48236E+18", Dicen q el coleo es el deporte nacional pero porque no se colean entre humanos sera mucho mejor y as sentiran lo mismo q siente esos pobres animales El nico ANIMAL en esta tierra es el Hombre llamese mujer u hombre ????,decir q coleo deporte nacional colear humanos sero mejor as sentiran mismo q pobre animal nico animal tierra hombre llamese mujer u hombre,2
"1,48236E+18",Como que William Levy no es el guapo indicado para Cafe con aroma de mujer,william levy guapo indicado cafe aromo mujer,2
"1,48236E+18",mi abuela es mi pilar en todo pedazo de mujer??,abuela pilar pedazo mujer,0
"1,48236E+18", Y ya diste positivo en ser m mujer,diste positivo ser m mujer,2
"1,48236E+18", Me parece muy raro que una mujer con esquema de seguridad que le garantiza que solo la pueden bajar del carro en una estacin de polica cargue 1 kilo de coca armas y efectivo en el carro de campaa. Hay que ver con quines se pele la seora para ver de quin es la merca.,parecer raro mujer esquema seguridad garantizar solo poder bajar carro estacin polico cargar kilo cocar arma efectivo carro campaa ver quín pele seoro ver quin merca,2
"1,48236E+18", Una estatua para esta mujer inteligente ??????,estatuo mujer inteligente,0
"1,48236E+18",Lo bueno de la mujer es que hace el duele durante la relacin...Despus no hay despus! Todo termina..,bueno mujer hacer doler relacindespus despus terminar,2
"1,48236E+18",#Mundo | Una mujer y un nio heridos dej ataque con cohetes cerca de embajada de EEUU en Irak  ? https://t.co/vIg3TGsMSy,mundo mujer nio herido dej ataque cohet cerca embajado eeuu irak,2
"1,48236E+18", Ricura de mujer ??????,ricurar mujer,0
"1,48236E+18", Esa es una de las razones que la convirti en una mujer tan linda guapa y cariosa el ejemplo de abuela incluye amor comprensin cario respeto nutricin entretenimiento y muchas cosas que la han convertido en una persona feliz. ??,razón convirti mujer tanto lindo guapo cariós ejemplo abuela incluir amor comprensin cario respetar nutricin entretenimiento mucho cosa convertido persona feliz,0
"1,48236E+18",Un grandioso cumpleaos para la nica mujer que nos da ms de 40 fotos en menos de 5 minutos. ??????HAPPY BIRTHDAY JENNIE #OurStarJennieDay   #??????_?????? https://t.co/JFMjiJ7Vq8,grandioso cumpleaos nico mujer dar ms foto menos minuto happy bihday jennie ourstarjennieday,0
"1,48236E+18",la calle est llena de mongolicos como el que no tienen cojones para amar a su mujer,calle est lleno mongolico cojón amar mujer,1
"1,48236E+18","""""""Sophie comenz a enviarle cartas a Carl Friedrich Gauss pero firmaba sus cartas con el nombre """"""""M. Leblanc"""""""" (ella tema que si Gauss saba que era mujer no iba a ser tomada en serio) Germain le comparti su desarrollo del teorema...?? https://t.co/6AYU7ngkZf""""""",sophie comenz enviar él carta carl friedrich gauss firmar carta nombre m leblanc tema si gauss sar mujer ir ser tomar serio germain comparti desarrollo teorema,2
"1,48236E+18",Sophie Germain una mujer que incursion en la teora de nmeros autodidacta fascinada con los trabajos de Arqumedes privada de poder estudiar porque a las mujeres no se les permita hacerlo refugiada en la biblioteca de su padre.....?? https://t.co/Xj0wo5iMiS,sophie germain mujer incursion teora nmero autodidacta fascinado trabajo arqumedes privado poder estudiar mujer permitir hacer él refugiado biblioteca padre,2
"1,48236E+18", #NiUnaMas cmo mujeres pueden tener de parejas a exconvictos o convictos en Colombia una mujer fue asesinada en el centro comercial Santafe por un convicto que era la pareja alguien sabe qu pas con ese caso,niunama cmo mujer poder tener pareja exconvicto convicto colombio mujer asesinado centro comercial santafe convicto parejo alguien saber qu pas caso,1
"1,48236E+18",  Solo falt Quintero y la mujer...que peligro este combo junto.,solo falt quintero mujerque peligro combo junto,1
"1,48236E+18",  Que antes una mujer estaba con un solo hombre y con l noms se quedaba. Ahora si no pasa nadalo bota y que venga otro.,mujer solo hombre l noms quedar ahora si pasar nadalo bota venir,2
"1,48236E+18",??INFRMATE????#DF_352 realiz charla sobre Ley Orgnica sobre el Derecho de la Mujer a una Vida Libre de Violencia al personal militar disponible#15Ene #MaestrosForjadoresDeAmor#FANB #GNB . . https://t.co/Nf1224WH3N,infrmate realiz char él ley orgnicar derecho mujer vida libre violencia personal militar disponible maestrosforjadoresdeamor fanb gnb,0
"1,48236E+18", Se conjusgan muchas cosas a la hora de evaluar a una mujer  para minlonmas importante pudiera ser lo proactivo y la ganas de avanzar  progresar como persona,conjusguir mucho cosa hora evaluar mujer minlonma importante poder ser proactivo gana avanzar progresar persona,2
"1,48236E+18", Llam 1989 que si por favor le devuelve el trmino.,llam si favor devolver trmino,2
"1,48236E+18",??INFRMATE????#DF_352 realiz charla sobre Ley Orgnica sobre el Derecho de la Mujer a una Vida Libre de Violencia al personal militar disponible#15Ene #MaestrosForjadoresDeAmor#FANB #GNB . . https://t.co/hjKhs1qX8t,infrmate realiz char él ley orgnicar derecho mujer vida libre violencia personal militar disponible maestrosforjadoresdeamor fanb gnb,0
"1,48236E+18",Va:                                                                                                  Hemos encontrado en Lidl la mejor solucin para hacer ms f...  https://t.co/FwEkYux0Tv,ir encontrar lidl mejor solucin hacer ms f,2
"1,48236E+18",#Internacionales | Matan a una osa negra que atac e hiri a una mujer en Florida #elsiglocomve?? https://t.co/0jYhm4I0UQ https://t.co/CgsLCZmbko,internacional matar ós negra atac hiri mujer florido elsiglocomve,2
"1,48236E+18", Estamos hartos de ella y de su asombrosa capacidad xra salirse x la tangente de hacerse la vctima y de sus demandas por persecucin Esa mujer hace rato debera estar en una crcel de mxima seguridad es un peligro para la democracia con razn hace parte del Pacto Histrico,harto asombroso capacidad xra salir él x tangente hacer él vctima demanda persecucin mujer hacer rato debera crcel mximo seguridad peligro democracia razn hacer parte pacto histrico,1
"1,48236E+18",   Quien Florencia En hombre un cambio de DNI no te convierte en mujer!!! Que se sienta mujer es otra cosa el sexo de las personas no se elige pods elegir que comer a dnde bailar a dnde trabajar pero naces con pito o vagina.,florencia hombre cambio dni convertir mujer sentar mujer cós sexo persona elegir pods elegir comer dnde bailar dndir trabajar naces pito vagín,1
"1,48236E+18", Hermosa mujer ??,hermoso mujer,0
"1,48236E+18",Con 20 aos viaj a los Juegos Olmpicos Berln 1936 en barco junto a 50 varones.La primera vez que una mujer representaba al pas en la mayor justa deportiva! ?? https://t.co/YmDlyd5ZtO,aos viaj juegos olmpico berln barco junto varonesla primero vez mujer representar pa mayor justa deportivo,0
"1,48236E+18",""""""" De verdad que esa concepcin de """"""""ya eres mujer"""""""" porque sangras porque puedes concebir porque esto y lo otro me la paso por el ??""""""",verdad concepcin mujer sangra poder concebir paso,2
"1,48236E+18",LA PRIMERA ???? EN PARTICIPAR EN UN JUEGO OLMPICO Y GANAR UNA MEDALLA ?? Hoy se cumplen 19 aos del fallecimiento de Jeanette Campbell.?? Una mujer que hizo historia grande en la natacin y el deporte de Argentina.?? #HiloDEPORTV ?? https://t.co/IRKeStlEDd,primero paicipar juego olmpico ganar medalla hoy cumplir aos fallecimiento jeanette campbell mujer hacer historia grande natacin deporte argentina hilodepov,0
"1,48236E+18",??INFRMATE????#DF_352 realiz charla sobre Ley Orgnica sobre el Derecho de la Mujer a una Vida Libre de Violencia al personal militar disponible#15Ene #MaestrosForjadoresDeAmor#FANB #GNB . . https://t.co/ZBK5vOKHXb,infrmate realiz char él ley orgnicar derecho mujer vida libre violencia personal militar disponible maestrosforjadoresdeamor fanb gnb,0
"1,48236E+18",Afuera del hospital Kaelin de  han atropellado a una mujer y se niegan a darle atencin. Los de seguridad dicen que llamen a los bomberos es el colmo. Literalmente est tumbada al frente del hospital. https://t.co/TM2ntZk11G,afuera hospital kaelin atropellado mujer negar dar él atencin seguridad decir llamar bombero colmo literalmente est tumbado frente hospital,2
"1,48236E+18", Esa es la actitud ??viva la mujer Venezolana. https://t.co/ur7WowL6ob,actitud vivo mujer venezolano,0
"1,48236E+18",La mujer ms bella de este mundo es mi novia ???????? definitivamente?? indiscutible este asunto. https://t.co/I1EemHkyh2,mujer ms bella mundo novia definitivamente indiscutible asunto,0
"1,48236E+18",   Vivir en un barrio popular ya que vives en boca grande donde estn los RICACHONES yo nunca eh matado nunca eh estado preso y mi ex pareja ombeee ojal nunca esa mujer se entere que ests diciendo que yo le pegaba porque ella si te puede pegar aty???????,vivir barrio popular viv boca grande estn ricachón nunca eh matado nunca eh preso ex pareja ombeee ojal nunca mujer enterar ests decir pegar si poder pegar aty,2
"1,48236E+18", Karina es un gran testimonio de que toda vida vale y que nadie eligi cmo ser concebido por lo tanto asesinar a un hijo x quien es su padre es deplorable como sociedad.Gracias  x ser una mujer que defiende la vida de la mujer y el hombre que est x nacer #AbortoNO,karina gran testimonio todo vida valer nadie eligi cmo ser concebir asesinar hijo x padre deplorable sociedadgracia x ser mujer defender vida mujer hombre est x nacer abortono,2
"1,48236E+18", La mujer antes debe mantener al dejar 30 cms. Todo mal,mujer deber mantener dejar cm mal,2
"1,48236E+18",Ayer v a Kimberly Reyes y Diossssss que mujer tan bella en esta vida??,ayer v kimberly reyes diossssss mujer tanto bello vida,0
"1,48236E+18", Pobre mujer se ve que est chorreada ( sonrisa nerviosa),pobre mujer ver est chorreado sonrisa nervioso,1
"1,48236E+18",     Esa es una mujer decidida! Buen texto Gabriela. Muchas gracias.??????,mujer decidido buen texto gabrielar mucho gracia,0
"1,48236E+18", Tenemos la certeza que Ud como primera dama estar al frente de una poltica que le d a la mujer cabeza de hogar el status social y econmico que merecen en un pas donde son mayora entre las mujeres.,certeza ud primero dama frente poltico d mujer cabeza hogar status social econmico merecer pas mayorar mujer,0
"1,48236E+18",la mujer ma un da de estos me va a venir matando no es broma https://t.co/7coEFoBpMa,mujer mo dar ir venir matar broma,1
"1,48236E+18", Las declaro mujer y cabra-,declarar mujer,2
"1,48236E+18",  ngela Ponce no es mujer miss Espaa..,ngelar ponce mujer miss espao,2
"1,48236E+18",Es una mujer o soy Yo pero no atrasare mi crecimiento por estar con varias mujeres.Mi energa es poderosa y no la merece cualquiera sencillo.???,mujer atrasare crecimiento varios mujeresmi energa poderoso merecer cualquiera sencillo,2
"1,48236E+18",#EsTendencia|  Se trata de la historia de Mara Jos Pereira quien en un hilo en Twitter relat cmo una desconocida la salv del maltrato de su novio.https://t.co/RFTHXS7rgT,estendencia tratar historia mar jos pereirar hilo twitter relat cmo desconocido salv maltrato novio,2
"1,48236E+18",Amo que mi prima sea contadora ta que me soluciona la bida esa mujer ??,amar prima contadorar ta solucionar bido mujer,0
"1,48236E+18",No soy mujer de odios... Pero esos HDP que inventaron el virus y lo propagaron por el planeta son una plaga... Y sabe cmo se elimina una plaga Fumigndolos!!! As que... ?????? con ellos. https://t.co/IKCOnE3vDf,mujer odio hdp inventar virus propagar planeta plaga saber cmo elimín plagar fumigndo él os,1
"1,48236E+18",  Buenos Aires fue refundada un 11 de junio de 1580 por Juan de Garay 66 nativos del Paraguay entre ellos una mujer Ana Daz y 1500 indios guaranes.Juan de Garay era Espaol la capital de Argentina lo fundaron entre Paraguayos y un criollo. ),buen aire refundado junio juan garay nativo paraguay mujer ana daz indio guaranesjuan garay espaol capital argentino fundar paraguayo criollo,2
"1,48236E+18", Depende si eres hombre o mujer,depender si hombre mujer,2
"1,48236E+18",Tanto como la mujer ve si tiene dinero u otra cosa del hombre  el hombre ve si esa mujer tiene futuro o solo prdida de tiempo???,mujer ver si dinero u cosa hombre hombre ver si mujer futuro solo prdido tiempo,1
"1,48236E+18",#Argentina Femicidio en Santiago del Estero: una mujer fue asesinada por su expareja en la vereda de su casa https://t.co/qhXtAiiWCQ https://t.co/IcTY1l2qt2,argentina femicidio santiago estero mujer asesinado exparejo veredo casa,2
"1,48236E+18", Pues que es un Arma de doble filo. Para nadie es un secreto que es Una mujer Falsa Oportunista y calculadora que obra de acuerdo a sus intereses personales.,pues arma doble filo nadie secreto mujer falso oportunista calculadoro obro acuerdo interés personal,1
"1,48236E+18","""""""   Lo lamentable es que esos nios tengan que """"""""calarse"""""""" a una mujer como t.""""""",lamentable nio calar él mujer t,2
"1,48236E+18",Que mujer por Dios ????,mujer dio,0
"1,48236E+18",Hoy amanec pensando en ti Bella reina la mujer ms hermosa que se ve.Nada es ms hermoso que tus ojos ni el brillo de las estrellas ni el azul del mar... ?? https://t.co/aco1bh2MAG,hoy amanec pensar bello reina mujer ms hermoso venar ms hermoso ojo brillo estrellas azul mar,0
"1,48236E+18","""""""Como dijo el gran filosofo Diomedes Diaz: """"""""Una mujer resentida si usted se descuida vivo se lo come"""""""".""""""",decir gran filosofo diomed diaz mujer resentido si usted descuidar vivo come,1
"1,48236E+18",#Oruro Tras presentar sntomas la mujer recibi atencin mdica y se someti a exmenes para descartar complicaciones. https://t.co/DilZQj9STa a travs de ,oruro tras presentar sntoma mujer recibi atencin mdico someti exmén descartar complicación travs,2
"1,48236E+18",   Mujer ms perversa que esta  no hay en su parido.Que dir Carmen Fre!!!,mujer ms perversa paridoque dir carmen fre,1
"1,48236E+18", Dnde ves las crticas No veo nunguna no entiendo tu posteo ni la necesidad de la comparacin. Andrea es una mujer HERMOSA que ha conseguido un logro inmenso que todo el mundo est aplaudiendo.,dndir ves crtica ver nunguna entiendo posteo necesidad comparacin andreo mujer hermoso conseguir logro inmenso mundo est aplaudir,2
